CS List,Google Match,Match
Central African Republic,Zambia,Central African Republic-Zambia
Republic of the Congo,Zambia,Republic of the Congo-Zambia
Equatorial Guinea,Zambia,Equatorial Guinea-Zambia
Sao Tome and Principe,Zambia,Sao Tome and Principe-Zambia
Eritrea,Zambia,Eritrea-Zambia
Somalia,Zambia,Somalia-Zambia
Comoros,Zambia,Comoros-Zambia
Benin,Benin,Benin-Benin
Cape Verde,Cape Verde,Cape Verde-Cape Verde
Ivory Coast,Côte d'Ivoire,Ivory Coast-Côte d'Ivoire
Guinea,Zambia,Guinea-Zambia
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau-Guinea-Bissau
Liberia,Zambia,Liberia-Zambia
Senegal,Zambia,Senegal-Zambia
Togo,Togo,Togo-Togo
Burundi,Zambia,Burundi-Zambia
Zambia,Zambia,Zambia-Zambia
Malawi,Tanzania,Malawi-Tanzania
Tanzania,Tanzania,Tanzania-Tanzania
Chad,Namibia,Chad-Namibia
Namibia,Namibia,Namibia-Namibia
Mauritania,Namibia,Mauritania-Namibia
Niger,Niger,Niger-Niger
Angola,Angola,Angola-Angola
Mozambique,Mozambique,Mozambique-Mozambique
Cameroon,Cameroon,Cameroon-Cameroon
Swaziland,Cameroon,Swaziland-Cameroon
Gambia,Cameroon,Gambia-Cameroon
Kenya,Kenya,Kenya-Kenya
Nigeria,Nigeria,Nigeria-Nigeria
Ethiopia,Nigeria,Ethiopia-Nigeria
Democratic Republic of the Congo,Gabon,Democratic Republic of the Congo-Gabon
Gabon,Gabon,Gabon-Gabon
Djibouti,Gabon,Djibouti-Gabon
Seychelles,Gabon,Seychelles-Gabon
Mali,Mali,Mali-Mali
Ghana,Ghana,Ghana-Ghana
South Sudan,Ghana,South Sudan-Ghana
Sudan,Burkina Faso,Sudan-Burkina Faso
Burkina Faso,Burkina Faso,Burkina Faso-Burkina Faso
Rwanda,Rwanda,Rwanda-Rwanda
Uganda,Uganda,Uganda-Uganda
Botswana,Botswana,Botswana-Botswana
Lesotho,Uganda,Lesotho-Uganda
Madagascar,Uganda,Madagascar-Uganda
Mauritius,Mauritius,Mauritius-Mauritius
South Africa,South Africa,South Africa-South Africa
Zimbabwe,Zimbabwe,Zimbabwe-Zimbabwe
Sierra Leone,Uganda,Sierra Leone-Uganda
